language,standard,amendment,rule_id,supportable,implementation_category,implemented,difficulty
c,MISRA-C-2012,Amendment3,DIR-4-6,Yes,Expand,Yes,Easy
c,MISRA-C-2012,Amendment3,DIR-4-9,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Amendment3,DIR-4-11,Yes,Refine,Yes,Import
c,MISRA-C-2012,Amendment3,RULE-1-4,Yes,Replace,Yes,Easy
c,MISRA-C-2012,Amendment3,RULE-10-1,Yes,Replace,Yes,Easy
c,MISRA-C-2012,Amendment3,RULE-10-3,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Amendment3,RULE-10-4,Yes,Refine,Yes,Import
c,MISRA-C-2012,Amendment3,RULE-10-5,Yes,Expand,Yes,Easy
c,MISRA-C-2012,Amendment3,RULE-10-7,Yes,Refine,Yes,Import
c,MISRA-C-2012,Amendment3,RULE-10-8,Yes,Refine,Yes,Import
c,MISRA-C-2012,Amendment3,RULE-21-11,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Amendment3,RULE-21-12,Yes,Replace,Yes,Easy
c,MISRA-C-2012,Amendment4,RULE-11-3,Yes,Expand,Yes,Easy
c,MISRA-C-2012,Amendment4,RULE-11-8,Yes,Expand,Yes,Easy
c,MISRA-C-2012,Amendment4,RULE-13-2,Yes,Expand,Yes,Very Hard
c,MISRA-C-2012,Amendment4,RULE-18-6,Yes,Expand,Yes,Medium
c,MISRA-C-2012,Amendment4,RULE-18-8,Yes,Split,Yes,Easy
c,MISRA-C-2012,Amendment4,RULE-2-2,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Amendment4,RULE-2-7,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Amendment4,RULE-3-1,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Amendment4,RULE-8-6,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Amendment4,RULE-8-9,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Amendment4,RULE-9-4,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Amendment4,RULE-10-1,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Amendment4,RULE-18-3,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Amendment4,RULE-1-4,Yes,Replace,Yes,Easy
c,MISRA-C-2012,Amendment4,RULE-9-1,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Corrigendum2,DIR-4-10,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-7-4,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Corrigendum2,RULE-8-2,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-8-3,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Corrigendum2,RULE-8-7,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-10-1,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-10-2,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Corrigendum2,RULE-10-3,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-11-3,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-11-6,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-13-2,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-13-6,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-14-3,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Corrigendum2,RULE-15-7,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-17-4,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-17-5,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-18-1,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Corrigendum2,RULE-20-14,No,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-21-19,Yes,Clarification,Yes,Import
c,MISRA-C-2012,Corrigendum2,RULE-21-20,Yes,Refine,Yes,Easy
c,MISRA-C-2012,Corrigendum2,RULE-22-9,Yes,Clarification,Yes,Import
